"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1-1",3353,1415,1233,1801,799,690,669,920,614,4731,769,913,846,826,530,883,1266,647,459,826,826
"1-2",3353,1457,1218,1790,770,690,669,922,624,4720,769,913,846,767,530,887,1266,647,448,803,803
"1-3",3293,1377,1158,1717,770,695,650,880,621,4720,769,914,790,765,528,887,1266,639,442,803,796
"1-4",3379,1370,1135,1717,770,704,631,861,624,4720,751,886,790,764,528,887,1295,614,437,752,796
"1-5",3413,1378,1135,1717,770,719,638,870,624,4342,748,874,791,764,528,994,1329,609,430,752,796
"1-6",3658,1378,1135,1625,741,719,625,870,624,4039,744,880,792,764,555,1010,1378,601,430,752,774
"1-7",3656,1378,1102,1610,741,711,625,870,627,3930,743,892,792,765,554,977,1423,601,430,726,794
"1-8",3656,1381,1124,1682,744,711,625,871,622,3937,747,892,792,766,550,947,1449,601,430,717,780
"1-9",3656,1377,1157,1656,732,711,625,873,630,3947,747,892,793,757,550,949,1449,595,436,694,801
"1-10",3543,1385,1188,1645,732,716,626,893,622,3947,747,896,793,746,568,949,1449,608,441,696,845
"1-11",3579,1387,1191,1645,732,698,627,852,621,3947,725,892,795,746,568,949,1500,615,453,701,845
"1-12",3631,1338,1191,1645,718,689,639,827,621,3958,732,891,810,746,568,986,1574,614,462,701,845
"1-13",3507,1338,1191,1589,728,692,641,827,621,3963,727,897,812,746,569,993,1590,610,462,701,861
"1-14",3529,1338,1194,1520,751,695,641,827,621,3829,733,896,812,747,567,986,1639,610,462,692,877
"1-15",3529,1338,1187,1534,726,695,641,827,631,3752,740,896,812,710,564,963,1678,610,462,694,861
"1-16",3529,1335,1162,1535,738,695,641,833,633,3748,740,896,812,709,564,953,1678,610,457,699,841
"1-17",3529,1321,1139,1542,738,695,637,797,643,3748,740,896,813,707,565,953,1678,614,455,715,828
"1-18",3617,1340,1125,1542,738,693,639,946,641,3748,740,839,811,708,565,953,1678,616,457,700,828
"1-19",3548,1310,1125,1542,738,686,624,947,641,3748,736,841,808,708,565,953,1692,619,473,700,828
"1-20",3758,1310,1125,1542,725,680,619,947,641,3710,751,831,806,708,565,953,1703,629,473,700,828
"1-21",3878,1310,1125,1582,720,663,619,947,641,3710,793,834,806,708,565,920,1639,629,473,700,851
"1-22",3878,1280,1100,1600,719,663,619,979,654,3713,783,834,806,708,561,918,1570,629,474,707,852
"1-23",3878,1280,1112,1614,705,663,618,1038,663,3713,783,834,805,708,578,897,1570,633,477,677,878
"1-24",3790,1268,1102,1628,705,656,615,1048,641,3713,783,835,805,708,592,897,1570,610,463,660,912
"1-25",3817,1250,1096,1628,705,646,604,1018,642,3713,781,842,813,703,592,897,1592,607,450,670,912
